web_scraper_order,web_scraper_start_url,srno,facility_id,facility_name,facility_address,phone,date_of_establishment,phone2,specialitiespm:_palliative_medicinebm:_burns_managementmc:_cardiologysv:_cardio-thoracic_vascular_surgeryer:_emergency_room_packages_(care_requiring_less_than_12_hrs_stay)mg:_general_medicinesg:_general_surgeryin:_interventional_neuroradiologymo:_medical_oncologymm:_mental_disorders_packagesmn:_neo-natal_care_packagessn:_neurosurgeryso:_obstetrics_gynaecologyse:_opthalmologysm:_oral_maxillofacial_surgerysb:_orthopaedicssl:_otorhinolaryngologymp:_paediatric_medical_managementss:_paediatric_surgerysp:_plastic_and_reconstructive_surgeryst:_polytraumamr:_radiation_oncologysc:_surgical_oncologysu:_urologyus:_unspecified_surgical_packageid:_infectious_diseasesna:_paediatric_cancerot:_organ_tissue_transplantimp:_implantsas:_ambulance_servicesyg:_yogaerrt:_emergency_room_packagescn:_consultationlb:_laboratory_medicineri:_radiologypp:_pulmonologynm:_nuclear_medicineby:_biopsiesrp:_interventional_radiologyca:_oncology_investigationsct:_chemotherapyrt:_radiotherapyit:_radio-isotope_therapypt:_physiotherapybt:_behavioural_therapydi:_dentistryop:_ophthalmologyent:_entcc:_critical_carebc:_blood_component_chargesgp:_general_procedurehn:_head_and_neck_surgeryskn:_skincd:_cardiologycv:_cardiovascular_and_cardiac_surgerygs:_general_surgerygm:_medical_gastroenterologyag:_abdomengi_surgeryps:_paediatric_surgeryog:_obstetrics_and_gynaecologynu:_nephrology_and_urologyni:_neurologyns:_neuro-surgeryor:_orthopaedicsbp:_burns_and_plastic_surgeryhc:_annual_health_check-upwc:_ward_chargestmh:_surgical_oncology_ay:_ayurvedanp:_naturopathyygn:_yoga_and_naturopathyun:_unanisid:_siddhaay:_ayurveda,facility_type,specialitiespm:_palliative_medicinebm:_burns_managementmc:_cardiologysv:_cardio-thoracic_vascular_surgeryer:_emergency_room_packages_(care_requiring_less_than_12_hrs_stay)mg:_general_medicinesg:_general_surgeryin:_interventional_neuroradiologymo:_medical_oncologymm:_mental_disorders_packagesmn:_neo-natal_care_packagessn:_neurosurgeryso:_obstetrics_gynaecologyse:_opthalmologysm:_oral_maxillofacial_surgerysb:_orthopaedicssl:_otorhinolaryngologymp:_paediatric_medical_managementss:_paediatric_surgerysp:_plastic_and_reconstructive_surgeryst:_polytraumamr:_radiation_oncologysc:_surgical_oncologysu:_urologyus:_unspecified_surgical_packageid:_infectious_diseasesna:_paediatric_cancerot:_organ_tissue_transplantimp:_implantsas:_ambulance_servicesyg:_yogaerrt:_emergency_room_packagescn:_consultationlb:_laboratory_medicineri:_radiologypp:_pulmonologynm:_nuclear_medicineby:_biopsiesrp:_interventional_radiologyca:_oncology_investigationsct:_chemotherapyrt:_radiotherapyit:_radio-isotope_therapypt:_physiotherapybt:_behavioural_therapydi:_dentistryop:_ophthalmologyent:_entcc:_critical_carebc:_blood_component_chargesgp:_general_procedurehn:_head_and_neck_surgeryskn:_skincd:_cardiologycv:_cardiovascular_and_cardiac_surgerygs:_general_surgerygm:_medical_gastroenterologyag:_abdomengi_surgeryps:_paediatric_surgeryog:_obstetrics_and_gynaecologynu:_nephrology_and_urologyni:_neurologyns:_neuro-surgeryor:_orthopaedicsbp:_burns_and_plastic_surgeryhc:_annual_health_check-upwc:_ward_chargestmh:_surgical_oncology_ay:_ayurvedanp:_naturopathyygn:_yoga_and_naturopathyun:_unanisid:_siddhaay:_ayurveda2,directions
"1790102614-1","https://hem.nha.gov.in/search","1.","HOSP3P26100096","BMC Superspeciality Hospital","handiaya road barnala,","8007698887","01-01-2024","05-05-2026","MC, SV, MG, SG, ...Read More","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102614-2","https://hem.nha.gov.in/search","2.","HOSP3P26101981","GLOBAL  DIAGNOSTIC CENTER AND NURSING HOME","oppisite civil hospital mlk ,","9876718829","07-03-2024","02-02-2026","SG, SB, SP, SU","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102614-3","https://hem.nha.gov.in/search","3.","HOSP3P25102315","GURU NANAK CARDIAC CARE","FARDIKOT,","9877829041","26-05-2025","12-12-2025","MC, MG","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102614-4","https://hem.nha.gov.in/search","4.","HOSP3P25103355","ALPHA MULTISPECIALITY HOSPITAL","mcleod road,rani ka bagh,","9988461002","18-06-2023","15-07-2025","MG, SG, SB, SU","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102614-5","https://hem.nha.gov.in/search","5.","HOSP3P26103442","Hakim Kishori Lal Hospital Pvt Ltd Ghs","Adarsh Nagar Guru Har Sahai,","9814641432","16-05-1996","05-05-2026","","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102614-6","https://hem.nha.gov.in/search","6.","HOSP3P25105740","ALGON HOSPITAL","MAJITHA ROAD AMRITSAR,","8837683032","11-11-2024","09-10-2025","MG, SG, SO, SB, ...Read More","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102614-7","https://hem.nha.gov.in/search","7.","HOSP3P26106970","shankar superspeciality hospital","60 B Ranbir marg model town patiala,","9814962641","21-01-2025","02-03-2026","MG, SG, SP, SU","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102614-8","https://hem.nha.gov.in/search","8.","HOSP3P26107024","EMC SUPER SPECIALITY HOSPITAL BATALA","Jalandhar Road Batala Distt Gurdaspur Punjab,","8054863500","16-04-2024","22-05-2026","MC, MG, SG, SN, ...Read More","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102614-9","https://hem.nha.gov.in/search","9.","HOSP3P25108933","SKSANJEEV MULTISPECIALITY HOSPITAL","G.T ROAD BHOGPUR JALANDAR,","9996626330","20-06-2024","20-11-2025","MC, MG, SG, SN, ...Read More","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102614-10","https://hem.nha.gov.in/search","10.","HOSP3P26111402","MAKKAR HOSPITAL","379 ,ADARSH NAGAR","9357201790","01-04-1995","27-05-2026","MG, SG, SO","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
