web_scraper_order,web_scraper_start_url,srno,facility_id,facility_name,facility_address,phone,specialitiespm:_palliative_medicinebm:_burns_managementmc:_cardiologysv:_cardio-thoracic_vascular_surgeryer:_emergency_room_packages_(care_requiring_less_than_12_hrs_stay)mg:_general_medicinesg:_general_surgeryin:_interventional_neuroradiologymo:_medical_oncologymm:_mental_disorders_packagesmn:_neo-natal_care_packagessn:_neurosurgeryso:_obstetrics_gynaecologyse:_opthalmologysm:_oral_maxillofacial_surgerysb:_orthopaedicssl:_otorhinolaryngologymp:_paediatric_medical_managementss:_paediatric_surgerysp:_plastic_and_reconstructive_surgeryst:_polytraumamr:_radiation_oncologysc:_surgical_oncologysu:_urologyus:_unspecified_surgical_packageid:_infectious_diseasesna:_paediatric_cancerot:_organ_tissue_transplantimp:_implantsas:_ambulance_servicesyg:_yogaerrt:_emergency_room_packagescn:_consultationlb:_laboratory_medicineri:_radiologypp:_pulmonologynm:_nuclear_medicineby:_biopsiesrp:_interventional_radiologyca:_oncology_investigationsct:_chemotherapyrt:_radiotherapyit:_radio-isotope_therapypt:_physiotherapybt:_behavioural_therapydi:_dentistryop:_ophthalmologyent:_entcc:_critical_carebc:_blood_component_chargesgp:_general_procedurehn:_head_and_neck_surgeryskn:_skincd:_cardiologycv:_cardiovascular_and_cardiac_surgerygs:_general_surgerygm:_medical_gastroenterologyag:_abdomengi_surgeryps:_paediatric_surgeryog:_obstetrics_and_gynaecologynu:_nephrology_and_urologyni:_neurologyns:_neuro-surgeryor:_orthopaedicsbp:_burns_and_plastic_surgeryhc:_annual_health_check-upwc:_ward_chargestmh:_surgical_oncology_ay:_ayurvedanp:_naturopathyygn:_yoga_and_naturopathyun:_unanisid:_siddhaay:_ayurveda,date_of_establishment,phone2,facility_type,specialitiespm:_palliative_medicinebm:_burns_managementmc:_cardiologysv:_cardio-thoracic_vascular_surgeryer:_emergency_room_packages_(care_requiring_less_than_12_hrs_stay)mg:_general_medicinesg:_general_surgeryin:_interventional_neuroradiologymo:_medical_oncologymm:_mental_disorders_packagesmn:_neo-natal_care_packagessn:_neurosurgeryso:_obstetrics_gynaecologyse:_opthalmologysm:_oral_maxillofacial_surgerysb:_orthopaedicssl:_otorhinolaryngologymp:_paediatric_medical_managementss:_paediatric_surgerysp:_plastic_and_reconstructive_surgeryst:_polytraumamr:_radiation_oncologysc:_surgical_oncologysu:_urologyus:_unspecified_surgical_packageid:_infectious_diseasesna:_paediatric_cancerot:_organ_tissue_transplantimp:_implantsas:_ambulance_servicesyg:_yogaerrt:_emergency_room_packagescn:_consultationlb:_laboratory_medicineri:_radiologypp:_pulmonologynm:_nuclear_medicineby:_biopsiesrp:_interventional_radiologyca:_oncology_investigationsct:_chemotherapyrt:_radiotherapyit:_radio-isotope_therapypt:_physiotherapybt:_behavioural_therapydi:_dentistryop:_ophthalmologyent:_entcc:_critical_carebc:_blood_component_chargesgp:_general_procedurehn:_head_and_neck_surgeryskn:_skincd:_cardiologycv:_cardiovascular_and_cardiac_surgerygs:_general_surgerygm:_medical_gastroenterologyag:_abdomengi_surgeryps:_paediatric_surgeryog:_obstetrics_and_gynaecologynu:_nephrology_and_urologyni:_neurologyns:_neuro-surgeryor:_orthopaedicsbp:_burns_and_plastic_surgeryhc:_annual_health_check-upwc:_ward_chargestmh:_surgical_oncology_ay:_ayurvedanp:_naturopathyygn:_yoga_and_naturopathyun:_unanisid:_siddhaay:_ayurveda2,directions
"1790102631-1","https://hem.nha.gov.in/search","1.","HOSP3G26155407","CHC KAUHRIAN","CHC KAUHRIAN,","9878825720","ER, MG, SG","NA","09-02-2026","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102631-2","https://hem.nha.gov.in/search","2.","HOSP3G26191141","Tertiary Cancer Care Centre","Tertiary Cancer Care Centre, Senia Road, Fazilka,","8198880999","MG, SO, SB","18-11-2024","06-05-2026","Hospital","","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102631-3","https://hem.nha.gov.in/search","3.","HOSP3G25191477","ESIC MEDICAL COLLEGE AND HOSPITAL","BHARAT NAGAR CHOWNK,","9711152370","MG, SG, SO, SE, ...Read More","24-02-1952","30-09-2025","Medical College Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102631-4","https://hem.nha.gov.in/search","4.","HOSP3G25246586","PUNJAB INSTITUTE OF LIVER AND BILIARY SCIENCES","Phase 3B-1, Sector-60, SAS Nagar, Mohali, Punjab,","9417030923","MG, SG, MO, SC, ...Read More","06-09-2023","28-02-2025","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102631-5","https://hem.nha.gov.in/search","5.","HOSP3G58215","CHC Bajakhana","CHC Bajakhana,","9592720937","BM, MC, SV, ER, ...Read More","06-05-2014","01-06-2019","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102631-6","https://hem.nha.gov.in/search","6.","HOSP3G58220","CHC Maur","Maur,Maur","9463444415","BM, MC, SV, ER, ...Read More","NA","01-06-2019","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102631-7","https://hem.nha.gov.in/search","7.","HOSP3G58245","CHC Ballianwali","Ballianwali Civil Hospital,","9779095225","BM, MC, SV, ER, ...Read More","NA","01-06-2019","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102631-8","https://hem.nha.gov.in/search","8.","HOSP3G58356","CHC Nurpur Bedi","VILL SINGHPUR, PO NURPUR BEDI,","9501812122","BM, SV, ER, MG, ...Read More","NA","31-05-2019","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102631-9","https://hem.nha.gov.in/search","9.","HOSP3G58357","SDH ANANDPUR SAHIB","HOSPITAL ANANDPUR SAHIB","8081340007","BM, MC, ER, MG, ...Read More","04-06-1998","31-05-2019","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
"1790102631-10","https://hem.nha.gov.in/search","10.","HOSP3G58364","CHC Morinda","Near railway phatak Morinda,Morinda","6283796329","BM, SV, ER, MG, ...Read More","30-10-2018","31-05-2019","Hospital","...Read More","https://hem.nha.gov.in/images/09e471a319362ae1865a.svg"
